Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
9.5		193.05585		1.6		1.5						5.3		3.9039333	
9.5		28.777378		1.6		1.4						5.3		3.6423693	
9.5		22.222334		1.6		1.4						5.3		2.648701	
9.5	50			0.3	1.8000001							7.3	3.1108377		
9.5		38.281883		0.3		1.4						7.3		3.4148164	
9.5		52.566677		0.3		1.4						7.3		3.47542	
9.5		39.52052		0.3		1.6						7.3		2.420618	
44.5	50			3.2	3.5							8.7	7.3353963		
44.5		24.602692		3.2		1.4						8.7		7.2138567	
44.5		84.94975		3.2		1.4						8.7		6.7260203	
44.5		21.759035		3.2		1.4						8.7		6.38912	
54.5	50			4.5	5.9							12.9	8.328086		
54.5		50		4.5		3.5						12.9		8.645662	
54.5		29.255974		4.5		3.1000001						12.9		8.976715	
54.5		40.309387		4.5		3.8						12.9		7.953885	
44.8	50			1.4	1.9							12	10.814401		
44.8		25.65883		1.4		1.5						12		10.616957	
44.8		49.599167		1.4		1.5						12		10.146394	
44.8		32.33162		1.4		1.6						12		9.073974	
55.6	25.197449			1.1	2.2							11.8	8.204334		
55.6		27.572178		1.1		1.4						11.8		8.450845	
55.6		44.868385		1.1		1.4						11.8		8.149635	
55.6		39.458202		1.1		1.7						11.8		7.9528527	
31.6	50			4	10.7							9.4	5.4817557		
31.6		50		4		3.8						9.4		5.954461	
31.6		28.052229		4		4.1						9.4		5.681801	
31.6		24.39339		4		4.7000003						9.4		4.9240046	
56.2	50			9.8	7.8							7.7	6.5174775		
56.2		20.537697		9.8		5.7000003						7.7		6.257688	
56.2		40.92525		9.8		7.2000003						7.7		6.227316	
56.2		45.27701		9.8		8.1						7.7		5.344941	
26.3	50			1.9	3.9							12.5	7.082474		
26.3		23.16399		1.9		1.4						12.5		6.782876	
26.3		29.417852		1.9		1.4						12.5		6.612801	
26.3		28.914255		1.9		1.5						12.5		5.5836754	
24.9	50			2	1.9							7.2	4.921256		
24.9		32.655884		2		1.4						7.2		5.019184	
24.9		43.855232		2		1.4						7.2		4.821352	
24.9		26.674234		2		1.6						7.2		4.0917187	
30.3	50			0.3	7.3							8.8	7.654592		
30.3		50		0.3		4.2000003						8.8		7.7684393	
30.3		28.844997		0.3		3.3						8.8		7.215425	
30.3		31.42712		0.3		3.9						8.8		6.3813047	
25.9	50			1.6	3.6000001							7.4	6.062723		
25.9		40.05369		1.6		2.3						7.4		5.669512	
25.9		33.96		1.6		1.6						7.4		5.812944	
25.9		32.58241		1.6		2.9						7.4		4.5573287	
13.7	50			1.6	3.8							9.7	6.3085465		
13.7		50		1.6		2.7						9.7		6.8796406	
13.7		46.812355		1.6		2.5						9.7		6.477558	
13.7		16.204742		1.6		3.7						9.7		5.343183	
40	83.489975			13.4	1.8000001							9.1	7.6840124		
40		117.84944		13.4		1.4						9.1		7.6907506	
40		25.881723		13.4		10.8						9.1		7.1489673	
40		31.860659		13.4		2.8						9.1		6.8539925	
10.7	50			0.1	2.1000001							4.4	3.8130388		
10.7		18.695414		0.1		1.4						4.4		4.357289	
10.7		60.65322		0.1		1.6						4.4		3.975506	
10.7		28.079468		0.1		1.6						4.4		2.8334057	
12.4	50			0.1	1.9							5.7	4.821018		
12.4		35.530117		0.1		1.5						5.7		4.528619	
12.4		37.908325		0.1		1.5						5.7		4.3858027	
12.4		24.232195		0.1		1.7						5.7		3.3900244	
40.1	33.19742			1.3	1.4							8.8	8.345065		
40.1		53.3134		1.3		1.6						8.8		8.244973	
40.1		13.414476		1.3		1.6						8.8		8.09691	
40.1		17.172586		1.3		1.6						8.8		7.4608603	
41	50			14.4	14.3							12.2	8.782306		
41		50		14.4		13.5						12.2		8.669203	
41		41.048084		14.4		13.7						12.2		8.377562	
41		33.946316		14.4		14.1						12.2		8.030707	
33.2	33.79735			5.5	8.2							7.4	6.446008		
33.2		27.863968		5.5		1.4						7.4		6.1065717	
33.2		16.031454		5.5		2.6000001						7.4		5.692574	
33.2		31.861813		5.5		5.3						7.4		5.3203135	
34.1	50			3.2	5.8							11.3	8.28349		
34.1		50		3.2		1.8000001						11.3		8.296744	
34.1		15.018757		3.2		1.5						11.3		8.152566	
34.1		18.046911		3.2		2.8						11.3		7.763209	
18.9	50			0.2	2.2							8.1	6.7606735		
18.9		19.419872		0.2		1.5						8.1		6.9400234	
18.9		38.148205		0.2		1.5						8.1		6.967357	
18.9		22.273945		0.2		1.6						8.1		5.4657745	
9.1	50			1.8	3.9							6.2	5.058084		
9.1		50		1.8		2.3						6.2		5.1661444	
9.1		56.510754		1.8		1.8000001						6.2		4.8940597	
9.1		50		1.8		3						6.2		3.600274	
47.5	50			10.6	10.7							11.1	9.846561		
47.5		92.027405		10.6		3.8						11.1		9.741629	
