Umfang	ALS	ULS	TLS	Höhe Krone	ALS	ULS	TLS	Höhe Baum	ALS	ULS	TLS	Krone Durchmesser	ALS	ULS	TLS
51.8		50		7		1.5						8.5		7.5547295	
51.8		31.516357		7		1.6						8.5		7.5590644	
51.8		30.559052		7		8.400001						8.5		7.425448	
22	50			0.3	4.8							3.4	3.2257123		
22		16.69634		0.3		2.8						3.4		3.4058986	
22		38.104664		0.3		1.6						3.4		3.162014	
22		37.357025		0.3		4						3.4		1.802513	
19	50			1.4	4.6							3.7	4.4842205		
19		50		1.4		1.9						3.7		4.755183	
19		43.857967		1.4		1.8000001						3.7		4.6958323	
19		23.940311		1.4		1.9						3.7		3.2977538	
24.7	50			0.3	2							3.9	5.396176		
24.7		50		0.3		1.7						3.9		5.074488	
24.7		36.905445		0.3		1.4						3.9		4.9353323	
24.7		41.92182		0.3		1.7						3.9		3.9387193	
17.8	50			0.3	3.5							3.3	3.4778757		
17.8		50		0.3		2.5						3.3		3.851528	
17.8		23.679583		0.3		1.5						3.3		3.7930982	
17.8		21.633156		0.3		1.5						3.3		2.6649013	
14.2	50			0.8	4.7000003							3.5	3.8451931		
14.2		50		0.8		2.1000001						3.5		4.116186	
14.2		40.771084		0.8		1.6						3.5		3.6337824	
14.2		15.530294		0.8		2						3.5		2.5378969	
19.8	50			0.9	2.6000001							3.6	3.7451112		
19.8		50		0.9		1.9						3.6		4.303905	
19.8		35.178333		0.9		1.7						3.6		4.143435	
19.8		15.966919		0.9		2.7						3.6		2.6938024	
15.4	19.7972			1.1	1.8000001							3.8	3.9011807		
15.4		15.852661		1.1		1.4						3.8		4.5086756	
15.4		21.361551		1.1		1.5						3.8		4.2724657	
15.4		19.668644		1.1		1.8000001						3.8		2.7891846	
7.7	50			1.5	4.7000003							2.1	2.3838944		
7.7		78.944244		1.5		4.2000003						2.1		2.9867122	
7.7		29.524622		1.5		1.6						2.1		2.77578	
7.7		32.46947		1.5		0						2.1		1.3054235	
17.9	50			1	3.1000001							3.8	4.3265853		
17.9		64.785645		1		2.4						3.8		4.2375255	
17.9		68.3483		1		1.8000001						3.8		4.0382247	
17.9		48.43015		1		2.8						3.8		2.9920988	
24.9	50			1.7	5.8							4.5	6.3333592		
24.9		52.63816		1.7		2.5						4.5		6.1330967	
24.9		31.31352		1.7		2.2						4.5		5.8489265	
24.9		34.95162		1.7		3						4.5		4.8192663	
16.5	50			0.6	7							2.6	3.7042615		
16.5		13.762964		0.6		3						2.6		3.7032933	
16.5		36.39532		0.6		3.4						2.6		3.4545112	
16.5		25.54712		0.6		3.1000001						2.6		2.2890363	
19.3	50			0.5	8.3							4.5	3.844201		
19.3		10.774836		0.5		2.4						4.5		3.6098273	
19.3		32.109806		0.5		2.5						4.5		3.462422	
19.3		32.93734		0.5		6.7000003						4.5		2.2125309	
19	50			1	5							2.6	4.3617015		
19		9.721959		1		2.4						2.6		3.9878647	
19		29.451788		1		1.9						2.6		3.9426382	
19		21.31079		1		4.4						2.6		2.7901425	
12.8	50			0.6	5.2000003							4	3.436323		
12.8		50		0.6		2.1000001						4		3.6341813	
12.8		50		0.6		2.1000001						4		3.847727	
12.8		21.522322		0.6		4.5						4		2.5178719	
16.1	50			1.1	4.4							3.1	3.8315103		
16.1		129.44862		1.1		2.7						3.1		3.5531907	
16.1		16.991991		1.1		1.4						3.1		3.6615431	
16.1		18.132652		1.1		2.5						3.1		2.323652	
6.2	50			6.3	1.9							2.6	4.2809386		
6.2		50		6.3		1.7						2.6		4.2702017	
6.2		42.79546		6.3		1.4						2.6		4.225407	
6.2		36.948223		6.3		2.1000001						2.6		2.7988732	
16.2	50			1.4	4.6							2.6	2.9845703		
16.2		9.032524		1.4		1.8000001						2.6		2.76724	
16.2		17.421482		1.4		2.1000001						2.6		3.0997076	
16.2		15.265579		1.4		6.3						2.6		1.5720537	
20.8	50			0.8	1.7							4.8	4.1580977		
20.8		46.330048		0.8		1.4						4.8		3.895465	
20.8		33.83504		0.8		1.5						4.8		4.231982	
20.8		178.7235		0.8		2.4						4.8		3.5285258	
51.9	50			4.7	8							6	5.263313		
51.9		50		4.7		6.3						6		5.2013426	
51.9		49.46166		4.7		6.7000003						6		5.015779	
51.9		28.600594		4.7		19.300001						6		4.789744	
16	50			1.7	3.3							6	5.8287463		
16		33.887264		1.7		1.8000001						6		6.308117	
16		17.684647		1.7		2						6		6.04158	
16		11.945798		1.7		2.7						6		4.169774	
20.3	50			3	4.7000003							7.2	5.516085		
20.3		29.600452		3		1.7						7.2		6.213477	
20.3		136.11533		3		4						7.2		5.860536	
20.3		88.173615		3		4.6						7.2		4.9115834	
10.5	50			7.4	9							5.6	3.6936493		
10.5		50		7.4		3.2						5.6		3.8499017	
10.5		18.146011		7.4		2.6000001						5.6		3.9195535	
10.5		6.972726		7.4		2.6000001						5.6		2.7609308	
19.7	50			3.6	3.5							8	5.764858		
19.7		50		3.6		1.7						8		6.055331	
19.7		15.037613		3.6		2.2						8		6.0875163	
19.7		12.210273		3.6		2.3						8		5.000223	
21.3	50			5.2	4.6							7.5	6.674065		
21.3		50		5.2		4.7000003						7.5		6.762765	
21.3		18.026354		5.2		3						7.5		6.8411293	
21.3		22.127829		5.2		5.2000003						7.5		5.3698354	
11.3	50			5.6	8.3							4.3	4.34987		
11.3		29.539505		5.6		1.4						4.3		4.211128	
11.3		51.361855		5.6		4.9						4.3		4.3310013	
11.3		50		5.6		9.2						4.3		2.8614101	
8.3	50			1.4	2.3			9.7	8.547			5.6	3.5580058		
8.3		13.779635		1.4		1.5		9.7		8.275499		5.6		3.903023	
8.3		5.0988007		1.4		1.9		9.7		8.442499		5.6		3.7878382	
8.3		50		1.4		3.3		9.7		9.23225		5.6		2.9094572	
16.2	50			3.3	6.4							6.3	5.5074654		
16.2		50		3.3		5.3						6.3		5.753903	
16.2		15.292211		3.3		5.3						6.3		5.782308	
16.2		15.823889		3.3		5.7000003						6.3		4.4316707	
18.3	50			3.2	8.6							6.4	6.8777184		
18.3		21.318869		3.2		1.4						6.4		6.5098004	
18.3		45.48332		3.2		1.4						6.4		6.288234	
18.3		17.45787		3.2		2.3						6.4		5.364146	
4.7	50			2	6.1							4.2	2.646213		
4.7		43.172882		2		3.3						4.2		3.2071412	
4.7		50		2		2.4						4.2		2.7640023	
4.7		50		2		4.4						4.2		1.704909	
14.8	50			2	10.8							5.2	3.5239007		
14.8		50		2		7.6						5.2		3.420033	
14.8		20.194016		2		2.1000001						5.2		3.1739502	
14.8		19.43375		2		11.7						5.2		2.8329	
17.9	50			1.2	5.7000003							7.9	5.413442		
17.9		50		1.2		1.6						7.9		5.124709	
17.9		45.443966		1.2		1.6						7.9		5.369602	
17.9		9.567403		1.2		3.6000001						7.9		3.9784067	
15.4	50			1.9	2.8							6	4.426606		
15.4		50		1.9		1.9						6		4.41572	
15.4		47.054943		1.9		1.5						6		4.427585	
15.4		50		1.9		2.1000001						6		2.948416	
18.4	50			3.7	5.8							7.2	6.179387		
18.4		50		3.7		3.1000001						7.2		6.236969	
18.4		19.212004		3.7		2						7.2		6.336377	
18.4		50		3.7		5.8						7.2		4.873024	
23.3	50			3.1	4.2000003							8.3	7.224727		
23.3		50		3.1		3.4						8.3		7.097331	
23.3		13.863272		3.1		3.2						8.3		7.268475	
23.3		18.505924		3.1		4.1						8.3		6.112076	
24.1	50			1.5	3.4							9.2	7.457591		
24.1		16.902046		1.5		3.4						9.2		7.0697002	
24.1		16.857347		1.5		3.2						9.2		6.982867	
24.1		22.695776		1.5		3.9						9.2		6.2852263	
52.2	50			11.7	16.4							7.7	6.0747595		
52.2		41.35931		11.7		2.3						7.7		5.8847675	
52.2		35.900032		11.7		2.5						7.7		5.831285	
52.2		28.209612		11.7		12.8						7.7		5.190741	
62.2	50			8.5	4.7000003							9.6	5.3663216		
62.2		24.745407		8.5		1.6						9.6		5.9256897	
62.2		31.460789		8.5		3.5						9.6		5.8072352	
62.2		41.177452		8.5		15.900001						9.6		5.6124935	
60.4	50			6.9	1.5							13.6	8.228505		
60.4		27.717808		6.9		1.5						13.6		8.33059	
60.4		22.429184		6.9		1.4						13.6		8.13503	
60.4		29.307068		6.9		2						13.6		8.064263	
86.7	50			13.4	9.900001							12	9.920761		
86.7		50		13.4		1.7						12		9.745799	
86.7		29.624828		13.4		1.4						12		9.751233	
86.7		35.543365		13.4		9.900001						12		9.283265	
56.3	50			24.1	8.3							8.8	5.662436		
56.3		50		24.1		6.6						8.8		5.899894	
56.3		26.58631		24.1		6.5						8.8		5.9387937	
56.3		28.796228		24.1		19.800001						8.8		5.928715	
30.8	50			11	6.7000003							5.9	5.3144784		
30.8		50		11		6.5						5.9		5.1881137	
30.8		19.77827		11		4.4						5.9		5.1503882	
30.8		14.528209		11		13.8						5.9		4.143875	
51.6	50			18.2	3.5							3.5	3.7975655		
51.6		38.759033		18.2		2.4						3.5		4.202183	
51.6		39.3044		18.2		2.7						3.5		4.048205	
51.6		40.2734		18.2		4.5						3.5		4.047372	
43.6	50			5.2	1.4							5.8	4.9791837		
43.6		60.69409		5.2		1.5						5.8		4.965987	
43.6		32.88692		5.2		12.1						5.8		4.935108	
43.6		38.522694		5.2		2.6000001						5.8		4.679564	
66.5	50			2.5	8.2							5.8	6.48395		
66.5		50		2.5		3.3						5.8		6.2523537	
66.5		35.024574		2.5		1.8000001						5.8		6.105066	
66.5		28.248045		2.5		7.8						5.8		5.783305	
56.9	39.78117			17.9	2							7.7	6.768469		
56.9		56.085545		17.9		16						7.7		6.903082	
56.9		27.451214		17.9		14.7						7.7		6.700453	
56.9		36.837025		17.9		16.1						7.7		6.197921	
57.9	50			15.8	6.7000003							10.4	7.4539075		
57.9		50		15.8		5.6						10.4		7.540407	
57.9		22.759073		15.8		3.9						10.4		7.4891353	
57.9		37.008743		15.8		6.8						10.4		7.399289	
62	50			19.4	1.4							8	7.9496164		
62		18.529284		19.4		1.5						8		7.9604144	
62		16.443254		19.4		1.4						8		7.8558016	
62		142.38235		19.4		16.4						8		7.727161	
53.5	50			19.9	19.7							8.7	6.5092154		
53.5		50		19.9		16.800001						8.7		6.62988	
53.5		29.499985		19.9		16.9						8.7		6.331624	
53.5		34.28692		19.9		17.2						8.7		6.0820007	
55.9	50			3.1	13							6.8	7.6550884		
55.9		50		3.1		11.900001						6.8		7.6463056	
55.9		36.270645		3.1		12						6.8		7.551535	
55.9		30.559591		3.1		12.400001						6.8		6.6981683	
49	50			5.5	9.3							7.8	7.0244484		
49		50		5.5		9.400001						7.8		6.950571	
49		32.310287		5.5		5.5						7.8		6.8971624	
49		26.321512		5.5		10.900001						7.8		6.581077	
56.9	50			6.8	4.8							6.9	7.6069026		
56.9		15.824983		6.8		4.5						6.9		7.1309	
56.9		24.87116		6.8		4.8						6.9		7.079107	
56.9		50		6.8		21.9						6.9		5.76026	
58.7	50			5.9	3.8							6.6	6.3814917		
58.7		30.000282		5.9		2.2						6.6		6.980624	
58.7		44.208633		5.9		1.4						6.6		6.6892614	
58.7		45.11676		5.9		12.8						6.6		6.3719406	
51.8	50			6	2.3							6.6	5.2642937		
51.8		19.492222		6		1.7						6.6		5.7702575	
51.8		32.243984		6		2.6000001						6.6		5.6709037	
51.8		21.655127		6		21.800001						6.6		5.6939106	
52	50			2.5	2.8							6.5	5.7385726		
52		50		2.5		2.2						6.5		5.408481	
52		44.671745		2.5		2.2						6.5		5.4644475	
52		30.2943		2.5		2.8						6.5		4.7440863	
75.9	50			10.4	15							8.9	10.738039		
75.9		27.994814		10.4		5						8.9		10.805719	
75.9		71.378456		10.4		12.1						8.9		10.786162	
75.9		33.544403		10.4		12.400001						8.9		10.029209	
67.5	50			3.3	13.400001							7.8	8.681375		
67.5		50		3.3		7.3						7.8		8.224654	
67.5		45.715813		3.3		7.5						7.8		8.246868	
67.5		48.175873		3.3		14.900001						7.8		7.650119	
14.2	50			7.7	7.9							4.5	4.178701		
14.2		50		7.7		3.7						4.5		3.9255924	
14.2		50		7.7		3.1000001						4.5		3.5878544	
14.2		22.298958		7.7		4.2000003						4.5		2.720084	
15.1	50			6.5	8.6							4.2	4.373586		
15.1		50		6.5		6.3						4.2		3.6553688	
15.1		50		6.5		6.8						4.2		3.6283164	
15.1		50		6.5		9.1						4.2		2.7711995	
19.2	50			4.8	8.5							7.7	5.3748865		
19.2		12.461839		4.8		7						7.7		4.9894924	
19.2		15.874362		4.8		5.3						7.7		4.5984406	
19.2		13.069518		4.8		8.7						7.7		3.6188095	
16.5	50			6.8	8.400001							5.8	4.615971		
16.5		50		6.8		7.4						5.8		4.403091	
16.5		50		6.8		7.9						5.8		4.4119062	
16.5		50		6.8		9.1						5.8		3.3223667	
14.4	50			7	10.7							3.4	4.4910507		
14.4		50		7		2.5						3.4		3.8861048	
14.4		50		7		2.4						3.4		3.9453502	
14.4		14.856132		7		11.3						3.4		3.0368338	
11.1	50			7	8							3.8	3.0253298		
11.1		50		7		3.1000001						3.8		2.8964431	
11.1		17.198574		7		3.2						3.8		2.693445	
11.1		50		7		11.1						3.8		1.8622291	
14.4	50			1	10.3							4.6	4.726878		
14.4		14.015767		1		5						4.6		4.513357	
14.4		94.27028		1		9.6						4.6		4.2272525	
14.4		18.85614		1		11						4.6		3.2026129	
16.4	50			8.1	7.8							4.5	3.7028027		
16.4		50		8.1		7.8						4.5		3.1999934	
16.4		4.4286127		8.1		4.4						4.5		3.474025	
16.4		15.316802		8.1		11.3						4.5		2.380687	
11	50			5.2	8.6							2.4	2.3825223		
11		50		5.2		7.2000003						2.4		2.5003715	
11		50		5.2		6.3						2.4		2.6615856	
11		50		5.2		0						2.4		1.2065412	
10.7	50			6	10							3.9	4.2418246		
10.7		50		6		6.9						3.9		3.9262593	
10.7		9.0821		6		5.1						3.9		3.9824247	
10.7		20.178337		6		10.6						3.9		2.686812	
12	50			2.5	10.900001							3.5	3.7087235		
12		50		2.5		8.400001						3.5		3.2540493	
12		50		2.5		9.8						3.5		3.170024	
12		50		2.5		13.1						3.5		2.0787103	
13.8	50			6.5	10.2							4	5.078185		
13.8		50		6.5		7.8						4		4.4581947	
13.8		80.0739		6.5		10.2						4		4.6372485	
13.8		12.362268		6.5		10.8						4		3.4908142	
17.3	50			6.8	10.2							4.3	5.1486874		
17.3		50		6.8		8.1						4.3		4.6486278	
17.3		15.322523		6.8		8.6						4.3		4.5384293	
17.3		50		6.8		10						4.3		3.6069012	
13.9	50			6.3	8.8							4.5	4.1507587		
13.9		50		6.3		6.3						4.5		3.884674	
13.9		50		6.3		8.1						4.5		3.5106397	
13.9		14.804837		6.3		9						4.5		2.544185	
10.6	50			5.2	8.8							4.3	4.071608		
10.6		50		5.2		5.3						4.3		3.814047	
10.6		6.261569		5.2		2.2						4.3		3.5851214	
10.6		14.725612		5.2		8.3						4.3		2.557211	
10.5	50			5.2	5.6							4	3.9213958		
10.5		50		5.2		5.5						4		3.416538	
10.5		8.892294		5.2		5.4						4		3.3080509	
10.5		27.171198		5.2		5.8						4		2.6435087	
8.9	19.590378			4.7	7							4.2	3.430867		
8.9		28.165548		4.7		2						4.2		2.9177012	
8.9		45.83073		4.7		5.6						4.2		2.9713206	
8.9		50		4.7		7.9						4.2		2.1843076	
14.1	50			5.3	5.2000003							6.1	4.7550983		
14.1		6.4693394		5.3		5						6.1		4.5443697	
14.1		18.454441		5.3		4.8						6.1		4.437792	
14.1		10.775241		5.3		5.4						6.1		3.7020054	
15.8	50			6.4	6.3							5.1	5.271888		
15.8		50		6.4		5.8						5.1		4.5800457	
15.8		50		6.4		5.7000003						5.1		4.454024	
15.8		18.82088		6.4		6.6						5.1		3.6265612	
18.2	50			5.8	7.5							5.3	4.1660604		
18.2		50		5.8		6.8						5.3		4.0522294	
18.2		25.613953		5.8		7.1						5.3		3.9198275	
18.2		11.121833		5.8		10.400001						5.3		3.2203367	
16.7	50			4.4	9							6.4	5.173574		
16.7		50		4.4		6.3						6.4		4.7661886	
16.7		50		4.4		6.4						6.4		4.5938272	
16.7		50		4.4		9.6						6.4		3.4951804	
11.6	50			6.7	6.7000003							3.4	2.9422817		
11.6		14.70961		6.7		6.2000003						3.4		3.255958	
11.6		50		6.7		6.7000003						3.4		3.3003297	
11.6		50		6.7		8.400001						3.4		1.6729182	
13.7	50			4.8	8.7							4.4	4.2265925		
13.7		50		4.8		7.2000003						4.4		3.9614587	
13.7		16.832233		4.8		5						4.4		3.5700612	
13.7		50		4.8		11.400001						4.4		2.5454946	
19.4	50			6.7	5.1							6	5.1602726		
19.4		18.313766		6.7		4.2000003						6		4.8576627	
19.4		19.987854		6.7		3						6		4.6823277	
19.4		18.046688		6.7		6.7000003						6		3.9618144	
10.9	50			6.5	7.5							4.2	3.937717		
10.9		50		6.5		7.4						4.2		3.395949	
10.9		44.057663		6.5		7.6						4.2		3.2567456	
10.9		11.844271		6.5		7.7000003						4.2		2.3880324	
10.1	50			5.7	8.1							4.2	2.2292812		
10.1		50		5.7		4.4						4.2		2.187353	
10.1		50		5.7		4.8						4.2		2.1290107	
10.1		22.153088		5.7		0						4.2		1.5750124	
10.4	50			4.1	7.9							3.3	1.9720457		
10.4		50		4.1		6.9						3.3		2.7996485	
10.4		50		4.1		6.9						3.3		2.814972	
10.4		17.144445		4.1		7.9						3.3		1.7700409	
7	50			4.4	8.6							2.5	2.2479396		
7		50		4.4		4.7000003						2.5		2.1414275	
7		20.86561		4.4		2.6000001						2.5		2.3837798	
7		50		4.4		0						2.5		0.9634072	
13.1	50			3	6.9							3.5	1.8456271		
13.1		50		3		5.9						3.5		2.5533648	
13.1		50		3		6.7000003						3.5		2.5435839	
13.1		50		3		0						3.5		1.0381709	
16.1	50			3.3	5.6							5.1	4.25185		
16.1		50		3.3		3.1000001						5.1		4.139767	
16.1		19.712349		3.3		3.1000001						5.1		3.847396	
16.1		13.694382		3.3		5.9						5.1		2.902877	
10.2	50			6.3	5.3							3.2	2.9178324		
10.2		50		6.3		4.8						3.2		3.0362062	
10.2		50		6.3		4.7000003						3.2		2.808834	
10.2		50		6.3		9.3						3.2		1.851953	
9.7	57.457127			10.6	8							2.8	3.2082264		
9.7		40.68827		10.6		4.8						2.8		2.8434472	
9.7		51.559227		10.6		7.8						2.8		2.5401676	
9.7		50		10.6		10.5						2.8		1.6820724	
10.9	50			5.8	5.3							4.1	3.930038		
10.9		16.512486		5.8		2.5						4.1		3.8189704	
10.9		50		5.8		2.8						4.1		3.8124006	
10.9		50		5.8		5.9						4.1		2.1964743	
18	50			4.3	7.6							7.8	4.446105		
18		50		4.3		5.9						7.8		4.5291305	
18		50		4.3		4						7.8		4.2513404	
18		50		4.3		9.5						7.8		3.5428083	
7.2	50			2.2	4.8							3.2	3.3441596		
7.2		50		2.2		2.5						3.2		2.8128526	
7.2		23.962723		2.2		1.7						3.2		3.0380807	
7.2		50		2.2		6.9						3.2		1.8961216	
12.4	40.47637			5.5	5.1							3.2	3.7909327		
12.4		34.20701		5.5		4.9						3.2		3.5096388	
12.4		33.773293		5.5		2.1000001						3.2		3.2571454	
12.4		50		5.5		9.2						3.2		2.3265984	
16.7	50			6.2	5.3							6	5.4394097		
16.7		8.005037		6.2		4.7000003						6		5.7996607	
16.7		19.875519		6.2		4.9						6		5.6420794	
16.7		10.873527		6.2		5.3						6		5.057948	
35.4	37.03779			9.3	5.5							10.3	5.922323		
35.4		21.144037		9.3		5.5						10.3		5.7498927	
35.4		35.112885		9.3		5.9						10.3		5.952131	
35.4		33.157658		9.3		6.5						10.3		5.1002307	
11.9	50			4.4	6							3.5	4.0447645		
11.9		50		4.4		4.6						3.5		3.4669323	
11.9		19.194107		4.4		4.7000003						3.5		3.4956663	
11.9		13.452138		4.4		5.4						3.5		2.468906	
11.3	50			3.3	2.3							4.1	3.2792535		
11.3		50		3.3		2.8						4.1		3.1345127	
11.3		16.23798		3.3		2.4						4.1		3.2176268	
11.3		15.945601		3.3		4.2000003						4.1		2.1264894	
17.6	50			5.5	4.7000003							5	4.8158736		
17.6		50		5.5		4.7000003						5		4.3521504	
17.6		16.285835		5.5		4.7000003						5		4.36633	
17.6		13.415013		5.5		5.3						5		3.395953	
17.1	50			2.7	6.5							4.9	4.3973517		
17.1		50		2.7		5.4						4.9		3.7789495	
17.1		19.279497		2.7		4.5						4.9		3.7515357	
17.1		12.331163		2.7		5.1						4.9		2.8581946	
16.3	50			2.1	2.2							3.6	3.8554988		
16.3		119.602		2.1		2						3.6		4.0866623	
16.3		85.46037		2.1		2.3						3.6		4.01185	
16.3		11.70407		2.1		2.6000001						3.6		2.9733424	
6.9	50			0.8	0							2.1	1.3946153		
6.9		50		0.8		4.8						2.1		1.6529154	
6.9		11.57911		0.8		4						2.1		1.9234188	
6.9		50		0.8		0						2.1		1.1620482	
20.2	50			5.8	9.6							5.8	5.4788504		
20.2		50		5.8		8.8						5.8		4.66479	
20.2		26.042095		5.8		8.7						5.8		4.7197556	
20.2		15.130204		5.8		9.1						5.8		3.7113774	
13.6	50			7.2	9							5	4.2570586		
13.6		10.817208		7.2		6.7000003						5		3.6877482	
13.6		17.930632		7.2		7.1						5		3.3804777	
13.6		50		7.2		9.8						5		2.7675526	
6.9	50			6.1	6							3.5	2.047456		
6.9		19.96502		6.1		4.9						3.5		2.7282012	
6.9		13.650089		6.1		4						3.5		2.5702977	
6.9		50		6.1		0						3.5		1.0891434	
10.3	50			4.3	6.5							3.6	3.344836		
10.3		50		4.3		7						3.6		2.624721	
10.3		50		4.3		6.3						3.6		2.8302257	
10.3		14.494744		4.3		7						3.6		1.7467775	
17.8	50			2.4	5.5							5.3	4.9689474		
17.8		50		2.4		4.4						5.3		4.93315	
17.8		17.162489		2.4		2.2						5.3		4.770992	
17.8		15.237933		2.4		4.5						5.3		3.68658	
8.9	50			2.6	9							2.6	1.5364532		
8.9		6.5462074		2.6		4.9						2.6		1.8210512	
8.9		50		2.6		7.7000003						2.6		2.1341476	
8.9		50		2.6		0						2.6		1.3824425	
10	50			5.8	1.7							2.5	2.3071153		
10		36.23899		5.8		1.4						2.5		2.0977511	
10		57.288082		5.8		1.5						2.5		2.1679018	
10		66.715775		5.8		0						2.5		1.2359571	
12.7	50			3.8	3.4							3.6	3.3941991		
12.7		50		3.8		1.8000001						3.6		2.9492457	
12.7		50		3.8		2.2						3.6		2.9783072	
12.7		12.995924		3.8		7.6						3.6		1.9767902	
8.2	43.632664			4.5	5.8							3.3	3.3296857		
8.2		39.729485		4.5		1.5						3.3		2.9570537	
8.2		66.3216		4.5		1.5						3.3		2.7521904	
8.2		50		4.5		9						3.3		1.604521	
10.1	50			1.5	5.2000003							3.6	3.5394578		
10.1		50		1.5		5.3						3.6		3.400797	
10.1		18.081045		1.5		5.3						3.6		3.1010273	
10.1		20.083372		1.5		5.9						3.6		2.1620524	
20.2	50			3	4.3							7.4	5.5769653		
20.2		14.274618		3		3.3						7.4		5.451564	
20.2		20.004894		3		3.9						7.4		5.41957	
20.2		14.349437		3		4.4						7.4		4.219368	
8.7	50			3	6.4							3	3.1264887		
8.7		50		3		3.6000001						3		2.6172616	
8.7		50		3		5.1						3		2.4976895	
8.7		50		3		10.7						3		1.7734145	
12.9	50			11.4	8.6							3.9	3.7357924		
12.9		50		11.4		8.5						3.9		3.1842778	
12.9		8.123474		11.4		8.1						3.9		2.9051638	
12.9		50		11.4		11.900001						3.9		2.054461	
18.8	50			4.7	7.1							5.6	5.3965945		
18.8		50		4.7		7.2000003						5.6		5.2423234	
18.8		19.343739		4.7		6.9						5.6		5.089319	
18.8		14.764679		4.7		7.1						5.6		4.2226434	
10.1	50			4.5	6.5							3.5	3.5778542		
10.1		50		4.5		6.3						3.5		3.3370497	
10.1		15.055016		4.5		5						3.5		3.3016357	
10.1		50		4.5		6.9						3.5		2.063111	
17.9	50			3.5	10.5							4.8	4.3291006		
17.9		14.310978		3.5		9.5						4.8		3.8208184	
17.9		19.746695		3.5		8.1						4.8		3.8071632	
17.9		19.474165		3.5		8.1						4.8		2.8950286	
16.9	50			2.8	5.2000003							5	4.440507		
16.9		14.412442		2.8		4.7000003						5		4.210383	
16.9		22.199865		2.8		3.8						5		4.1596646	
16.9		14.474082		2.8		4.6						5		3.2180912	
10	50			3.2	5							3	3.4258838		
10		50		3.2		4.5						3		3.4181857	
10		23.447176		3.2		5.3						3		3.2620609	
10		10.373441		3.2		6						3		2.1362941	
46.5	50			1.8	4.1							8.9	6.711858		
46.5		24.024443		1.8		3.5						8.9		7.027318	
46.5		33.10929		1.8		1.9						8.9		6.969008	
46.5		33.217285		1.8		4.3						8.9		6.1611843	
38.8	50			1.8	2.2							9.6	7.7403016		
38.8		35.042576		1.8		1.4						9.6		6.9201875	
38.8		29.079004		1.8		1.4						9.6		6.930583	
38.8		26.118574		1.8		2.3						9.6		5.791775	
42	50			13.2	12.400001							9.8	7.6410227		
42		31.126694		13.2		11						9.8		7.4144464	
42		40.103416		13.2		11.2						9.8		7.0946856	
42		27.44038		13.2		11.6						9.8		6.2943254	
40.3	50			NA	16.1							6.7	5.9990706		
40.3		25.866058		NA		15.2						6.7		5.725636	
40.3		35.17131		NA		16.6						6.7		5.661521	
40.3		50		NA		17.1						6.7		5.0677185	
38.3	50			12	15.900001							9.9	7.8231792		
38.3		15.999145		12		13.6						9.9		7.7325788	
38.3		18.32744		12		13.8						9.9		7.399712	
38.3		32.05278		12		14						9.9		7.026281	
30.8	50			7.2	18.1							4.6	3.6580172		
30.8		28.217602		7.2		4.5						4.6		3.5095665	
30.8		30.31932		7.2		17.9						4.6		3.3828225	
30.8		33.789246		7.2		19.7						4.6		2.9140449	
36.9	50			18.5	21.300001							6.6	5.9263325		
36.9		50		18.5		22.1						6.6		5.7381525	
36.9		27.909767		18.5		22.1						6.6		5.453804	
36.9		35.778973		18.5		22.300001						6.6		5.0146575	
10.7	50			6.3	9.6							2.6	3.4115677		
10.7		50		6.3		8.8						2.6		3.4673254	
10.7		15.159397		6.3		6.8						2.6		3.3906605	
10.7		50		6.3		10.7						2.6		1.9974593	
22.5	50			4.4	7.8							8.1	6.5740414		
22.5		59.80593		4.4		7.7000003						8.1		6.267216	
22.5		80.70919		4.4		7.8						8.1		6.1096897	
22.5		22.98365		4.4		7.7000003						8.1		5.1947966	
15.4	50			4.2	5.9							5	3.923957		
15.4		24.540789		4.2		5.1						5		3.773681	
15.4		15.144711		4.2		2.8						5		3.558551	
15.4		50		4.2		6.2000003						5		2.4273858	
22	50			4.1	7.6							6.7	6.1705675		
22		50		4.1		6.8						6.7		5.782291	
22		18.623241		4.1		6.9						6.7		5.6865454	
22		19.51932		4.1		7.2000003						6.7		4.806529	
12.4	50			5.9	10							3.6	3.8053513		
12.4		50		5.9		5.8						3.6		3.2454972	
12.4		16.685045		5.9		2.3						3.6		3.2739658	
12.4		50		5.9		11.6						3.6		2.4291053	
14.5	50			6.2	9.3							4.8	2.903336		
14.5		50		6.2		8.3						4.8		2.672997	
14.5		50		6.2		7.2000003						4.8		2.536262	
14.5		17.164902		6.2		12.400001						4.8		1.3582693	
12.5	50			2.3	10.900001							3	3.0270638		
12.5		14.454092		2.3		9.400001						3		2.4415874	
12.5		46.631725		2.3		7.9						3		2.5139003	
12.5		20.197273		2.3		12.6						3		1.63169	
11.3	50			5.5	7.7000003							4	3.6691613		
11.3		50		5.5		2.7						4		3.3166077	
11.3		13.116334		5.5		1.9						4		3.0116615	
11.3		50		5.5		9.6						4		2.2348204	
17.9	50			4.6	6.7000003							6.4	4.910715		
17.9		50		4.6		6.5						6.4		4.6739078	
17.9		19.11745		4.6		5.4						6.4		4.431407	
17.9		9.845146		4.6		7						6.4		3.6424246	
10.4	11.691392			7.1	10							3	3.3628762		
10.4		50		7.1		9.3						3		2.9382768	
10.4		50		7.1		9.400001						3		2.677755	
10.4		50		7.1		10.3						3		1.6759561	
